,CountryCode,CountryName,Year,elec_energy_prod_hydroelectric_percent,elec_energy_prod_naturalgas_percent,elec_energy_prod_nuclear_percent,elec_energy_prod_oil_gas_coal_percent,elec_energy_prod_renewable_percent,elect_access_percent_population,elect_consumption_Kwh_per_capita,female_population_percent,gdp_growth_annual_percent,population_0_14_percent,population_15_64_percent,population_65_plus_percent,population_density,population_largest_city,rural_population_percent,surface_area,total_population
0,ABW,Aruba,1990,,,,,,81.13573,,50.6725880157045,,24.5494625732123,67.7962283581129,7.6543090686747695,345.26666666666705,,49.681,180.0,62148.0
1,ABW,Aruba,1991,,,,,,,,50.5887996533742,,24.090494096529103,68.51585348869601,7.393652414774929,359.01666666666705,,49.696,180.0,64623.0
2,ABW,Aruba,1992,,,,,,,,50.5356488605554,,23.8088957279988,69.02176302484061,7.16934124716055,379.083333333333,,50.002,180.0,68235.0
3,ABW,Aruba,1993,,,,,,,,50.52691108720239,,23.6889293497752,69.29984275428289,7.01122789594196,402.7666666666671,,50.412,180.0,72498.0
4,ABW,Aruba,1994,,,,,,,,50.572359843546295,,23.5971316818775,69.4771838331161,6.92568448500651,426.111111111111,,50.823,180.0,76700.0
5,ABW,Aruba,1995,,,,,,,,50.6759953190748,1.24508591166203,23.422055125364103,69.6698453800762,6.90809949455966,446.255555555556,,51.233,180.0,80326.0
6,ABW,Aruba,1996,,,,,,,,50.837189734960006,7.8144317188921795,23.5639161007272,69.4524911352846,6.98359276398823,462.194444444444,,51.644,180.0,83195.0
7,ABW,Aruba,1997,,,,,,,,51.0445071213735,6.66662183020206,23.585380411249105,69.3260149566398,7.08860463211114,474.705555555556,,52.054,180.0,85447.0
8,ABW,Aruba,1998,,,,,,,,51.2821394197718,1.15446939174406,23.4898482973555,69.2836518630551,7.22649983958934,484.866666666667,,52.464,180.0,87276.0
9,ABW,Aruba,1999,,,,,,,,51.5212799424745,4.51406203251221,23.349512381466,69.26205563794889,7.38843198058513,494.46666666666704,,52.873,180.0,89004.0
10,ABW,Aruba,2000,,,,,,85.4112,,51.7422791608884,-0.364695778713454,23.1790266129565,69.2421140681063,7.57885931893724,504.7666666666671,,53.283,180.0,90858.0
11,ABW,Aruba,2001,,,,,,,,51.94092191099529,-2.16445940890385,22.918595388292,69.3263289340539,7.7550756776541,516.077777777778,,53.661,180.0,92894.0
12,ABW,Aruba,2002,,,,,,,,52.118532554345,0.465289865491144,22.624348649928898,69.4204958155692,7.955155534501821,527.75,,54.028,180.0,94995.0
13,ABW,Aruba,2003,,,,,,,,52.2661444106581,7.519472373284941,22.277998247693706,69.5541926506211,8.16780910168531,538.972222222222,,54.394,180.0,97015.0
14,ABW,Aruba,2004,,,,,,,,52.3748759393166,1.17669048367502,21.8843045512548,69.7322314719167,8.38346397682851,548.5666666666671,,54.76,180.0,98742.0
15,ABW,Aruba,2005,,,,,,,,52.4407433695554,0.3803909713825109,21.4733432635883,69.9383191210725,8.58833761533924,555.727777777778,,55.125,180.0,100031.0
16,ABW,Aruba,2006,,,,,,,,52.459585440841,2.35511944298051,21.2218585738372,69.86115243479121,8.916988991371609,560.166666666667,,55.489,180.0,100830.0
17,ABW,Aruba,2007,,,,,,,,52.4373135213104,-3.65462624193272,21.071350945484,69.6980774170602,9.230571637455787,562.322222222222,,55.853,180.0,101218.0
18,ABW,Aruba,2008,,,,,,,,52.3909139349924,-6.88130206359888,20.9863630084269,69.4647826172762,9.54885437429692,563.011111111111,,56.217,180.0,101342.0
19,ABW,Aruba,2009,,,,,,,,52.346769740474905,-5.65350208612952,20.9148457837028,69.1892797980595,9.89587441823776,563.422222222222,,56.579,180.0,101416.0
20,ABW,Aruba,2010,,,,,,87.87328,,52.3233953758477,,20.8096695768576,68.8908137051291,10.2995167180133,564.427777777778,,56.941,180.0,101597.0
21,ABW,Aruba,2011,,,,,,,,52.3269502432899,,20.4343902056192,68.9687647151154,10.5968450792654,566.311111111111,,57.302,180.0,101936.0
22,ABW,Aruba,2012,,,,,,90.87544,,52.3522115769633,,19.953512447139897,69.1053099332962,10.9411776195638,568.85,,57.636,180.0,102393.0
23,ABW,Aruba,2013,,,,,,,,52.3926118090574,,19.3944870337443,69.2735204671544,11.3319924991012,571.783333333333,,57.942,180.0,102921.0
24,ADO,Andorra,1990,,,,,,100.0,,,3.78139347786568,,,,115.98085106383,,5.288,470.0,54511.0
25,ADO,Andorra,1991,,,,,,,,,2.54600064090229,,,,120.582978723404,,5.47,470.0,56674.0
26,ADO,Andorra,1992,,,,,,,,,0.929215382801402,,,,125.327659574468,,5.676,470.0,58904.0
27,ADO,Andorra,1993,,,,,,,,,-1.03149171388272,,,,129.79361702127702,,5.889,470.0,61003.0
28,ADO,Andorra,1994,,,,,,,,,2.38319527748475,,,,133.41914893617002,,6.11,470.0,62707.0
29,ADO,Andorra,1995,,,,,,,,,2.7574939772792,,,,135.859574468085,,6.339,470.0,63854.0
30,ADO,Andorra,1996,,,,,,,,,4.64974195875254,,,,136.789361702128,,6.575,470.0,64291.0
31,ADO,Andorra,1997,,,,,,,,,9.06767396402095,,,,136.48297872340402,,6.819999999999991,470.0,64147.0
32,ADO,Andorra,1998,,,,,,,,,3.19478796475406,,,,135.931914893617,,7.072999999999991,470.0,63888.0
33,ADO,Andorra,1999,,,,,,,,,4.09908114794879,,,,136.512765957447,,7.334,470.0,64161.0
34,ADO,Andorra,2000,,,,,,100.0,,,1.16578706437875,,,,139.146808510638,,7.605,470.0,65399.0
35,ADO,Andorra,2001,,,,,,,,,6.06678059681872,,,,144.191489361702,,7.944,470.0,67770.0
36,ADO,Andorra,2002,,,,,,,,,6.42684513850158,,,,151.16170212766002,,8.358999999999991,470.0,71046.0
37,ADO,Andorra,2003,,,,,,,,,12.0239197396079,,,,159.11276595744698,,8.79300000000001,470.0,74783.0
38,ADO,Andorra,2004,,,,,,,,,8.06950429074125,,,,166.674468085106,,9.249,470.0,78337.0
39,ADO,Andorra,2005,,,,,,,,,7.83970449604648,,,,172.814893617021,,9.705,470.0,81223.0
40,ADO,Andorra,2006,,,,,,,,,4.58531059335641,,,,177.389361702128,,10.162,470.0,83373.0
41,ADO,Andorra,2007,,,,,,,,,0.078039377902499,,,,180.591489361702,,10.637,470.0,84878.0
42,ADO,Andorra,2008,,,,,,,,,-8.59425600818136,,,,182.16170212766,,11.133,470.0,85616.0
43,ADO,Andorra,2009,,,,,,,,,-3.81798602402674,,,,181.859574468085,,11.648,470.0,85474.0
44,ADO,Andorra,2010,,,,,,100.0,,,-5.34797718118854,,,,179.61489361702098,,12.183,470.0,84419.0
45,ADO,Andorra,2011,,,,,,,,,-4.80267503725287,,,,175.16170212766,,12.74,470.0,82326.0
46,ADO,Andorra,2012,,,,,,100.0,,,-1.7600103276889598,,,,168.75744680851102,,13.292,470.0,79316.0
47,ADO,Andorra,2013,,,,,,,,,-0.0635143126218196,,,,161.493617021277,,13.835,470.0,75902.0
48,AFG,Afghanistan,1990,,,,,,34.61567,,48.7897397736247,,48.06516970690871,49.727757949612105,2.20707234347926,18.4841619949147,1549320.0,81.684,652860.0,12067570.0
49,AFG,Afghanistan,1991,,,,,,,,48.661834425985205,,48.0294500731623,49.7492684161086,2.22128151072915,19.5897650338511,1618697.0,81.403,652860.0,12789374.0
50,AFG,Afghanistan,1992,,,,,,,,48.507445639086704,,47.98056545971341,49.780817612579405,2.23861692770721,21.0544833501823,1691283.0,81.118,652860.0,13745630.0
51,AFG,Afghanistan,1993,,,,,,,,48.3654179998598,,47.96050368680061,49.78058090963861,2.25891540356079,22.7068146310082,1766910.0,80.83,652860.0,14824371.0
52,AFG,Afghanistan,1994,,,,,,,,48.2702579028677,,47.926085794633295,49.7889441105958,2.28497009477083,24.3083769874092,1846031.0,80.538,652860.0,15869967.0
53,AFG,Afghanistan,1995,,,,,,,,48.2341296079385,,47.7971887590906,49.8812164324483,2.3215948084611298,25.6908403026683,1928694.0,80.243,652860.0,16772522.0
54,AFG,Afghanistan,1996,,,,,,,,48.25848024802939,,47.9888798636296,49.6939045178414,2.31721561852898,26.7772569923108,2015181.0,79.945,652860.0,17481800.0
55,AFG,Afghanistan,1997,,,,,,,,48.3272162283404,,48.1865107992457,49.5106500840351,2.30283911671924,27.623272983488,2105292.0,79.644,652860.0,18034130.0
56,AFG,Afghanistan,1998,,,,,,,,48.4124986224764,,48.3438817425727,49.3729890856917,2.28312917173559,28.3544404619673,2199565.0,79.339,652860.0,18511480.0
57,AFG,Afghanistan,1999,,,,,,,,48.477699304879295,,48.4598354275197,49.2791523666355,2.26101220584481,29.1615660325338,2298059.0,79.03,652860.0,19038420.0
58,AFG,Afghanistan,2000,,,,,,37.45584,,48.4998076331569,,48.5636389106859,49.19947477253511,2.23688631677896,30.1778941886469,2401109.0,78.718,652860.0,19701940.0
59,AFG,Afghanistan,2001,,,,,,,,48.4710751852306,,48.506061031135104,49.2773374714337,2.21660149743122,31.4480286738351,2508477.0,78.404,652860.0,20531160.0
60,AFG,Afghanistan,2002,,,,,,,,48.4078594396195,,48.3474556965142,49.451821720393,2.2007225830928503,32.9122307998652,2620804.0,78.085,652860.0,21487079.0
61,AFG,Afghanistan,2003,,,,,,,,48.3381442023785,8.44416322679218,48.1316695937082,49.6795271663928,2.18880323989904,34.475029868578304,2738161.0,77.763,652860.0,22507368.0
62,AFG,Afghanistan,2004,,,,,,,,48.2944018791609,1.05555578746555,47.8814332857444,49.9381868394905,2.18037987476516,35.995236344698704,2860946.0,77.438,652860.0,23499850.0
63,AFG,Afghanistan,2005,,,,,,,,48.2936357077482,11.1752702416587,47.59249896762071,50.2314554112984,2.1760456210808403,37.3739362190975,2989237.0,77.105,652860.0,24399948.0
64,AFG,Afghanistan,2006,,,,,,,,48.340387192228,5.55413762257501,47.696333508910506,50.1066586349895,2.19700785610009,38.574296173758505,3123281.0,76.763,652860.0,25183615.0
65,AFG,Afghanistan,2007,,,,,,,,48.42122961900871,13.7402049898513,47.78680697055329,49.9999072554953,2.21328577395135,39.6372024630089,3263335.0,76.413,652860.0,25877544.0
66,AFG,Afghanistan,2008,,,,,,,,48.51290907472771,3.61136839226168,47.8252284946353,49.94608677434029,2.22868473102436,40.6346552093864,3409670.0,76.054,652860.0,26528741.0
67,AFG,Afghanistan,2009,,,,,,,,48.5848186796694,21.0206487363678,47.7666776894473,49.9848845664201,2.2484377441326298,41.6740051465858,3562567.0,75.687,652860.0,27207291.0
68,AFG,Afghanistan,2010,,,,,,41.0,,48.61767170238029,8.43329048161792,47.58934443193271,50.1354059785052,2.27524958956208,42.8303265631223,3722320.0,75.311,652860.0,27962207.0
69,AFG,Afghanistan,2011,,,,,,,,48.6067507609644,6.11368516942299,47.100417724677705,50.58990077706861,2.30968149825366,44.12763379591341,3889237.0,74.926,652860.0,28809167.0
70,AFG,Afghanistan,2012,,,,,,43.0,,48.5640383192232,14.4347412879524,46.449243129172,51.19994571902001,2.35081115180802,45.53319701007871,4063639.0,74.532,652860.0,29726803.0
