;start_date;end_date;counts;keywords;date
0;2022-05-23 22:55:43+00:00;2022-05-23 23:00:00+00:00;13;electric cars;2022-05-23
1;2022-05-23 23:00:00+00:00;2022-05-24 00:00:00+00:00;215;electric cars;2022-05-23
2;2022-05-24 00:00:00+00:00;2022-05-24 01:00:00+00:00;189;electric cars;2022-05-24
3;2022-05-24 01:00:00+00:00;2022-05-24 02:00:00+00:00;219;electric cars;2022-05-24
4;2022-05-24 02:00:00+00:00;2022-05-24 03:00:00+00:00;302;electric cars;2022-05-24
5;2022-05-24 03:00:00+00:00;2022-05-24 04:00:00+00:00;212;electric cars;2022-05-24
6;2022-05-24 04:00:00+00:00;2022-05-24 05:00:00+00:00;182;electric cars;2022-05-24
7;2022-05-24 05:00:00+00:00;2022-05-24 06:00:00+00:00;174;electric cars;2022-05-24
8;2022-05-24 06:00:00+00:00;2022-05-24 07:00:00+00:00;144;electric cars;2022-05-24
9;2022-05-24 07:00:00+00:00;2022-05-24 08:00:00+00:00;117;electric cars;2022-05-24
10;2022-05-24 08:00:00+00:00;2022-05-24 09:00:00+00:00;151;electric cars;2022-05-24
11;2022-05-24 09:00:00+00:00;2022-05-24 10:00:00+00:00;150;electric cars;2022-05-24
12;2022-05-24 10:00:00+00:00;2022-05-24 11:00:00+00:00;203;electric cars;2022-05-24
13;2022-05-24 11:00:00+00:00;2022-05-24 12:00:00+00:00;238;electric cars;2022-05-24
14;2022-05-24 12:00:00+00:00;2022-05-24 13:00:00+00:00;319;electric cars;2022-05-24
15;2022-05-24 13:00:00+00:00;2022-05-24 14:00:00+00:00;370;electric cars;2022-05-24
16;2022-05-24 14:00:00+00:00;2022-05-24 15:00:00+00:00;417;electric cars;2022-05-24
17;2022-05-24 15:00:00+00:00;2022-05-24 16:00:00+00:00;424;electric cars;2022-05-24
18;2022-05-24 16:00:00+00:00;2022-05-24 17:00:00+00:00;520;electric cars;2022-05-24
19;2022-05-24 17:00:00+00:00;2022-05-24 18:00:00+00:00;489;electric cars;2022-05-24
20;2022-05-24 18:00:00+00:00;2022-05-24 19:00:00+00:00;499;electric cars;2022-05-24
21;2022-05-24 19:00:00+00:00;2022-05-24 20:00:00+00:00;392;electric cars;2022-05-24
22;2022-05-24 20:00:00+00:00;2022-05-24 21:00:00+00:00;421;electric cars;2022-05-24
23;2022-05-24 21:00:00+00:00;2022-05-24 22:00:00+00:00;461;electric cars;2022-05-24
24;2022-05-24 22:00:00+00:00;2022-05-24 23:00:00+00:00;374;electric cars;2022-05-24
25;2022-05-24 23:00:00+00:00;2022-05-25 00:00:00+00:00;263;electric cars;2022-05-24
26;2022-05-25 00:00:00+00:00;2022-05-25 01:00:00+00:00;204;electric cars;2022-05-25
27;2022-05-25 01:00:00+00:00;2022-05-25 02:00:00+00:00;197;electric cars;2022-05-25
28;2022-05-25 02:00:00+00:00;2022-05-25 03:00:00+00:00;178;electric cars;2022-05-25
29;2022-05-25 03:00:00+00:00;2022-05-25 04:00:00+00:00;215;electric cars;2022-05-25
30;2022-05-25 04:00:00+00:00;2022-05-25 05:00:00+00:00;114;electric cars;2022-05-25
31;2022-05-25 05:00:00+00:00;2022-05-25 06:00:00+00:00;122;electric cars;2022-05-25
32;2022-05-25 06:00:00+00:00;2022-05-25 07:00:00+00:00;170;electric cars;2022-05-25
33;2022-05-25 07:00:00+00:00;2022-05-25 08:00:00+00:00;134;electric cars;2022-05-25
34;2022-05-25 08:00:00+00:00;2022-05-25 09:00:00+00:00;140;electric cars;2022-05-25
35;2022-05-25 09:00:00+00:00;2022-05-25 10:00:00+00:00;151;electric cars;2022-05-25
36;2022-05-25 10:00:00+00:00;2022-05-25 11:00:00+00:00;161;electric cars;2022-05-25
37;2022-05-25 11:00:00+00:00;2022-05-25 12:00:00+00:00;204;electric cars;2022-05-25
38;2022-05-25 12:00:00+00:00;2022-05-25 13:00:00+00:00;240;electric cars;2022-05-25
39;2022-05-25 13:00:00+00:00;2022-05-25 14:00:00+00:00;243;electric cars;2022-05-25
40;2022-05-25 14:00:00+00:00;2022-05-25 15:00:00+00:00;189;electric cars;2022-05-25
41;2022-05-25 15:00:00+00:00;2022-05-25 16:00:00+00:00;246;electric cars;2022-05-25
42;2022-05-25 16:00:00+00:00;2022-05-25 17:00:00+00:00;227;electric cars;2022-05-25
43;2022-05-25 17:00:00+00:00;2022-05-25 18:00:00+00:00;213;electric cars;2022-05-25
44;2022-05-25 18:00:00+00:00;2022-05-25 19:00:00+00:00;178;electric cars;2022-05-25
45;2022-05-25 19:00:00+00:00;2022-05-25 20:00:00+00:00;305;electric cars;2022-05-25
46;2022-05-25 20:00:00+00:00;2022-05-25 21:00:00+00:00;158;electric cars;2022-05-25
47;2022-05-25 21:00:00+00:00;2022-05-25 22:00:00+00:00;177;electric cars;2022-05-25
48;2022-05-25 22:00:00+00:00;2022-05-25 23:00:00+00:00;152;electric cars;2022-05-25
49;2022-05-25 23:00:00+00:00;2022-05-26 00:00:00+00:00;110;electric cars;2022-05-25
50;2022-05-26 00:00:00+00:00;2022-05-26 01:00:00+00:00;128;electric cars;2022-05-26
51;2022-05-26 01:00:00+00:00;2022-05-26 02:00:00+00:00;95;electric cars;2022-05-26
52;2022-05-26 02:00:00+00:00;2022-05-26 03:00:00+00:00;114;electric cars;2022-05-26
53;2022-05-26 03:00:00+00:00;2022-05-26 04:00:00+00:00;99;electric cars;2022-05-26
54;2022-05-26 04:00:00+00:00;2022-05-26 05:00:00+00:00;83;electric cars;2022-05-26
55;2022-05-26 05:00:00+00:00;2022-05-26 06:00:00+00:00;108;electric cars;2022-05-26
56;2022-05-26 06:00:00+00:00;2022-05-26 07:00:00+00:00;124;electric cars;2022-05-26
57;2022-05-26 07:00:00+00:00;2022-05-26 08:00:00+00:00;119;electric cars;2022-05-26
58;2022-05-26 08:00:00+00:00;2022-05-26 09:00:00+00:00;119;electric cars;2022-05-26
59;2022-05-26 09:00:00+00:00;2022-05-26 10:00:00+00:00;146;electric cars;2022-05-26
60;2022-05-26 10:00:00+00:00;2022-05-26 11:00:00+00:00;169;electric cars;2022-05-26
61;2022-05-26 11:00:00+00:00;2022-05-26 12:00:00+00:00;183;electric cars;2022-05-26
62;2022-05-26 12:00:00+00:00;2022-05-26 13:00:00+00:00;182;electric cars;2022-05-26
63;2022-05-26 13:00:00+00:00;2022-05-26 14:00:00+00:00;234;electric cars;2022-05-26
64;2022-05-26 14:00:00+00:00;2022-05-26 15:00:00+00:00;194;electric cars;2022-05-26
65;2022-05-26 15:00:00+00:00;2022-05-26 16:00:00+00:00;176;electric cars;2022-05-26
66;2022-05-26 16:00:00+00:00;2022-05-26 17:00:00+00:00;219;electric cars;2022-05-26
67;2022-05-26 17:00:00+00:00;2022-05-26 18:00:00+00:00;403;electric cars;2022-05-26
68;2022-05-26 18:00:00+00:00;2022-05-26 19:00:00+00:00;387;electric cars;2022-05-26
69;2022-05-26 19:00:00+00:00;2022-05-26 20:00:00+00:00;274;electric cars;2022-05-26
70;2022-05-26 20:00:00+00:00;2022-05-26 21:00:00+00:00;222;electric cars;2022-05-26
71;2022-05-26 21:00:00+00:00;2022-05-26 22:00:00+00:00;174;electric cars;2022-05-26
72;2022-05-26 22:00:00+00:00;2022-05-26 23:00:00+00:00;222;electric cars;2022-05-26
73;2022-05-26 23:00:00+00:00;2022-05-27 00:00:00+00:00;202;electric cars;2022-05-26
74;2022-05-27 00:00:00+00:00;2022-05-27 01:00:00+00:00;227;electric cars;2022-05-27
75;2022-05-27 01:00:00+00:00;2022-05-27 02:00:00+00:00;209;electric cars;2022-05-27
76;2022-05-27 02:00:00+00:00;2022-05-27 03:00:00+00:00;145;electric cars;2022-05-27
77;2022-05-27 03:00:00+00:00;2022-05-27 04:00:00+00:00;165;electric cars;2022-05-27
78;2022-05-27 04:00:00+00:00;2022-05-27 05:00:00+00:00;124;electric cars;2022-05-27
79;2022-05-27 05:00:00+00:00;2022-05-27 06:00:00+00:00;110;electric cars;2022-05-27
80;2022-05-27 06:00:00+00:00;2022-05-27 07:00:00+00:00;126;electric cars;2022-05-27
81;2022-05-27 07:00:00+00:00;2022-05-27 08:00:00+00:00;146;electric cars;2022-05-27
82;2022-05-27 08:00:00+00:00;2022-05-27 09:00:00+00:00;150;electric cars;2022-05-27
83;2022-05-27 09:00:00+00:00;2022-05-27 10:00:00+00:00;171;electric cars;2022-05-27
84;2022-05-27 10:00:00+00:00;2022-05-27 11:00:00+00:00;258;electric cars;2022-05-27
85;2022-05-27 11:00:00+00:00;2022-05-27 12:00:00+00:00;218;electric cars;2022-05-27
86;2022-05-27 12:00:00+00:00;2022-05-27 13:00:00+00:00;210;electric cars;2022-05-27
87;2022-05-27 13:00:00+00:00;2022-05-27 14:00:00+00:00;196;electric cars;2022-05-27
88;2022-05-27 14:00:00+00:00;2022-05-27 15:00:00+00:00;245;electric cars;2022-05-27
89;2022-05-27 15:00:00+00:00;2022-05-27 16:00:00+00:00;209;electric cars;2022-05-27
90;2022-05-27 16:00:00+00:00;2022-05-27 17:00:00+00:00;207;electric cars;2022-05-27
91;2022-05-27 17:00:00+00:00;2022-05-27 18:00:00+00:00;297;electric cars;2022-05-27
92;2022-05-27 18:00:00+00:00;2022-05-27 19:00:00+00:00;181;electric cars;2022-05-27
93;2022-05-27 19:00:00+00:00;2022-05-27 20:00:00+00:00;166;electric cars;2022-05-27
94;2022-05-27 20:00:00+00:00;2022-05-27 21:00:00+00:00;159;electric cars;2022-05-27
95;2022-05-27 21:00:00+00:00;2022-05-27 22:00:00+00:00;152;electric cars;2022-05-27
96;2022-05-27 22:00:00+00:00;2022-05-27 23:00:00+00:00;186;electric cars;2022-05-27
97;2022-05-27 23:00:00+00:00;2022-05-28 00:00:00+00:00;139;electric cars;2022-05-27
98;2022-05-28 00:00:00+00:00;2022-05-28 01:00:00+00:00;112;electric cars;2022-05-28
99;2022-05-28 01:00:00+00:00;2022-05-28 02:00:00+00:00;198;electric cars;2022-05-28
100;2022-05-28 02:00:00+00:00;2022-05-28 03:00:00+00:00;160;electric cars;2022-05-28
101;2022-05-28 03:00:00+00:00;2022-05-28 04:00:00+00:00;120;electric cars;2022-05-28
102;2022-05-28 04:00:00+00:00;2022-05-28 05:00:00+00:00;91;electric cars;2022-05-28
103;2022-05-28 05:00:00+00:00;2022-05-28 06:00:00+00:00;118;electric cars;2022-05-28
104;2022-05-28 06:00:00+00:00;2022-05-28 07:00:00+00:00;154;electric cars;2022-05-28
105;2022-05-28 07:00:00+00:00;2022-05-28 08:00:00+00:00;130;electric cars;2022-05-28
106;2022-05-28 08:00:00+00:00;2022-05-28 09:00:00+00:00;120;electric cars;2022-05-28
107;2022-05-28 09:00:00+00:00;2022-05-28 10:00:00+00:00;105;electric cars;2022-05-28
108;2022-05-28 10:00:00+00:00;2022-05-28 11:00:00+00:00;142;electric cars;2022-05-28
109;2022-05-28 11:00:00+00:00;2022-05-28 12:00:00+00:00;136;electric cars;2022-05-28
