;start_date;end_date;counts;keywords
0;2022-05-01T20:41:34.000Z;2022-05-01T21:00:00.000Z;85;electric cars
1;2022-05-01T21:00:00.000Z;2022-05-01T22:00:00.000Z;250;electric cars
2;2022-05-01T22:00:00.000Z;2022-05-01T23:00:00.000Z;199;electric cars
3;2022-05-01T23:00:00.000Z;2022-05-02T00:00:00.000Z;166;electric cars
4;2022-05-02T00:00:00.000Z;2022-05-02T01:00:00.000Z;154;electric cars
5;2022-05-02T01:00:00.000Z;2022-05-02T02:00:00.000Z;146;electric cars
6;2022-05-02T02:00:00.000Z;2022-05-02T03:00:00.000Z;174;electric cars
7;2022-05-02T03:00:00.000Z;2022-05-02T04:00:00.000Z;140;electric cars
8;2022-05-02T04:00:00.000Z;2022-05-02T05:00:00.000Z;130;electric cars
9;2022-05-02T05:00:00.000Z;2022-05-02T06:00:00.000Z;148;electric cars
10;2022-05-02T06:00:00.000Z;2022-05-02T07:00:00.000Z;169;electric cars
11;2022-05-02T07:00:00.000Z;2022-05-02T08:00:00.000Z;202;electric cars
12;2022-05-02T08:00:00.000Z;2022-05-02T09:00:00.000Z;153;electric cars
13;2022-05-02T09:00:00.000Z;2022-05-02T10:00:00.000Z;218;electric cars
14;2022-05-02T10:00:00.000Z;2022-05-02T11:00:00.000Z;161;electric cars
15;2022-05-02T11:00:00.000Z;2022-05-02T12:00:00.000Z;177;electric cars
16;2022-05-02T12:00:00.000Z;2022-05-02T13:00:00.000Z;220;electric cars
17;2022-05-02T13:00:00.000Z;2022-05-02T14:00:00.000Z;227;electric cars
18;2022-05-02T14:00:00.000Z;2022-05-02T15:00:00.000Z;230;electric cars
19;2022-05-02T15:00:00.000Z;2022-05-02T16:00:00.000Z;205;electric cars
20;2022-05-02T16:00:00.000Z;2022-05-02T17:00:00.000Z;239;electric cars
21;2022-05-02T17:00:00.000Z;2022-05-02T18:00:00.000Z;262;electric cars
22;2022-05-02T18:00:00.000Z;2022-05-02T19:00:00.000Z;248;electric cars
23;2022-05-02T19:00:00.000Z;2022-05-02T20:00:00.000Z;228;electric cars
24;2022-05-02T20:00:00.000Z;2022-05-02T21:00:00.000Z;394;electric cars
25;2022-05-02T21:00:00.000Z;2022-05-02T22:00:00.000Z;588;electric cars
26;2022-05-02T22:00:00.000Z;2022-05-02T23:00:00.000Z;450;electric cars
27;2022-05-02T23:00:00.000Z;2022-05-03T00:00:00.000Z;426;electric cars
28;2022-05-03T00:00:00.000Z;2022-05-03T01:00:00.000Z;449;electric cars
29;2022-05-03T01:00:00.000Z;2022-05-03T02:00:00.000Z;332;electric cars
30;2022-05-03T02:00:00.000Z;2022-05-03T03:00:00.000Z;230;electric cars
31;2022-05-03T03:00:00.000Z;2022-05-03T04:00:00.000Z;178;electric cars
32;2022-05-03T04:00:00.000Z;2022-05-03T05:00:00.000Z;189;electric cars
33;2022-05-03T05:00:00.000Z;2022-05-03T06:00:00.000Z;173;electric cars
34;2022-05-03T06:00:00.000Z;2022-05-03T07:00:00.000Z;218;electric cars
35;2022-05-03T07:00:00.000Z;2022-05-03T08:00:00.000Z;187;electric cars
36;2022-05-03T08:00:00.000Z;2022-05-03T09:00:00.000Z;180;electric cars
37;2022-05-03T09:00:00.000Z;2022-05-03T10:00:00.000Z;216;electric cars
38;2022-05-03T10:00:00.000Z;2022-05-03T11:00:00.000Z;216;electric cars
39;2022-05-03T11:00:00.000Z;2022-05-03T12:00:00.000Z;297;electric cars
40;2022-05-03T12:00:00.000Z;2022-05-03T13:00:00.000Z;286;electric cars
41;2022-05-03T13:00:00.000Z;2022-05-03T14:00:00.000Z;297;electric cars
42;2022-05-03T14:00:00.000Z;2022-05-03T15:00:00.000Z;244;electric cars
43;2022-05-03T15:00:00.000Z;2022-05-03T16:00:00.000Z;239;electric cars
44;2022-05-03T16:00:00.000Z;2022-05-03T17:00:00.000Z;915;electric cars
45;2022-05-03T17:00:00.000Z;2022-05-03T18:00:00.000Z;581;electric cars
46;2022-05-03T18:00:00.000Z;2022-05-03T19:00:00.000Z;489;electric cars
